decimalLatitude,decimalLongitude,day,month,year,t2m,e,tp,sdtb,altitude,ndvi,species,sp,ocup_solo,t2m_abr_ago,et_acumulada_180d,pet_acumulada_180d,t_minima_media_abr_ago,dias_geada_abr_ago
37.408071,-5.940893,10.0,4.0,2022,302.77557373046875,-0.0001415079459547,5.632638931274414e-06,1314.04,19,0.4283,Unknown,1,0.0,,0.0,0.0,,0
39.983728,-8.396107,27.0,3.0,2022,292.7952880859375,-0.0002825357951223,4.276632239452738e-07,1288.53,136,0.446,Unknown,1,0.0,,0.0,0.0,,0
39.522272,8.640157,29.0,3.0,2022,298.4661865234375,-0.0002725468948483,8.583068620282575e-07,969.04,-126,0.2111,Unknown,1,0.0,,0.0,0.0,,0
36.736522,3.040475,1.0,6.0,2021,304.4042358398437,-0.0008298084139823,4.101693775737658e-05,1112.1,-2653,0.2959,Unknown,1,0.0,,0.0,0.0,,0
36.589167,2.832222,29.0,1.0,2021,295.8616943359375,-0.0009433226659893,4.351138045421976e-07,1056.33,-2605,0.6561,Unknown,1,0.0,,0.0,0.0,,0
38.886719,-1.90115,19.0,4.0,2021,305.56201171875,-2.084486186504364e-05,0.0,1888.59,860,0.4064,Unknown,1,0.0,,0.0,0.0,,0
32.867222,-6.901389,23.0,6.0,2020,290.7196655273437,-1.9082799553871155e-05,0.0,1330.61,792,0.1729,Unknown,1,0.0,,0.0,0.0,,0
38.686739,-77.321219,1.0,5.0,2020,259.5287170410156,3.1311064958572388e-06,1.886486984403745e-06,1538.69,88,0.128,Unknown,1,0.0,302.2489929199219,-0.886333703994751,-9.04680061340332,298.6664733886719,0
38.742153,-9.178172,17.0,4.0,2019,298.6138916015625,-0.0001602224074304,8.52346317969932e-07,1110.79,79,0.0204,Unknown,1,0.0,,0.0,0.0,,0
38.618095,-85.775422,19.0,10.0,2004,286.903076171875,-9.17688012123108e-05,0.0036400407552719,892.18,183,-0.0318,Unknown,1,0.0,301.32781982421875,-0.8836777806282043,-8.348459243774414,297.8389587402344,0
39.80035,45.169228,25.0,5.0,2022,286.93310546875,-0.0029387269169092,0.0005148452473804,821.27,-126,0.5854,Unknown,1,0.0,,0.0,0.0,,0
37.031303,15.232276,12.0,4.0,2015,296.0985717773437,-0.0002916003577411,0.0,835.52,-2690,0.6799000000000001,Unknown,1,0.0,,0.0,0.0,,0
-6.640682,-79.797145,14.0,11.0,2020,290.32666015625,-3.689620643854141e-05,0.0001511082082288,1902.92,36,0.2828,Unknown,1,0.0,297.9725646972656,-0.9412567615509033,-3.2936244010925293,295.5302429199219,0
31.869481,34.989019,28.0,4.0,2021,292.65594482421875,-0.0003956602886319,0.000973030924797,447.42,754,0.3564,Unknown,1,0.0,,0.0,0.0,,0
39.369603,-77.387955,18.0,4.0,2017,283.98291015625,-0.0002092123031616,4.261731874066754e-07,1257.71,112,0.6445000000000001,Unknown,1,0.0,301.980712890625,-0.9645954370498657,-8.64952278137207,298.47442626953125,0
33.441651,-84.179721,29.0,5.0,2024,304.310546875,-0.0002012178301811,0.0,1016.58,258,0.4698,Unknown,1,0.0,302.5556640625,-0.876284658908844,-8.739725112915039,299.1947021484375,0
-33.11262,18.655801,27.0,6.0,2024,302.411865234375,-0.002162555232644,0.0019743144512176,2953.3,-4581,0.4204,Unknown,1,0.0,,0.0,0.0,,0
4.768571,-74.099695,10.0,4.0,2023,308.20867919921875,-2.0607374608516693e-05,0.0,1828.54,2552,0.0295,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.768571,-74.099695,22.0,5.0,2023,292.98583984375,-0.0001562582328915,0.0,1828.54,2552,-0.0102,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.768571,-74.099695,5.0,6.0,2023,294.6004638671875,-1.8659979104995728e-05,0.0,1828.54,2552,0.4647,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.768571,-74.099695,19.0,6.0,2023,284.59259033203125,-7.299799472093582e-05,0.0,1828.54,2552,0.4131,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.768571,-74.099695,17.0,7.0,2023,285.7440185546875,-0.0001692632213234,0.0016344785690307,1828.54,2552,0.3446,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.768571,-74.099695,14.0,8.0,2023,300.00048828125,-0.000141573138535,0.0,1828.54,2552,0.0164,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.768571,-74.099695,31.0,7.0,2023,286.01025390625,-0.0001585623249411,1.6915797459660098e-05,1828.54,2552,0.0116,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
4.768571,-74.099695,28.0,8.0,2023,292.33447265625,-0.0001407302916049,0.0,1828.54,2552,0.2687,Unknown,1,0.0,287.85308837890625,-0.7319802045822144,-2.5292415618896484,285.34747314453125,0
35.550219,45.446092,6.0,3.0,2024,287.10064697265625,-0.0016973363235592,0.0002210676611866,382.89,752,0.2008,Unknown,1,0.0,,0.0,0.0,,0
38.048683,23.723123,26.0,3.0,2018,293.7225646972656,-0.0004540896043181,0.0013401210308074,655.45,-837,0.1156,Unknown,1,0.0,,0.0,0.0,,0
